b'Data generated by the ASTRA High Altitude Balloon Flight Planner - University of Southampton',b'',b'',b'',b'',b''
b'Simulation #',b'Time from launch [s]',b'Latitude',b'Longitude',b'Altitude [m]',b'Remarks'
b'1.0',b'0.0',b'18.3358',b'-65.6516',b'10.0',b'Balloon Launch'
b'1.0',b'3.0',b'18.335773680131066',b'-65.65162490785636',b'25.061072926346636',b''
b'1.0',b'6.0',b'18.335747364821177',b'-65.65164981066235',b'43.76320573987328',b''
b'1.0',b'9.0',b'18.335721054070472',b'-65.65167470841814',b'62.46986230472258',b''
b'1.0',b'12.0',b'18.33569474787908',b'-65.65169960112385',b'81.17962497693097',b''
b'1.0',b'15.0',b'18.33566844624714',b'-65.65172448877966',b'99.88938764913934',b''
b'1.0',b'18.0',b'18.33564214917478',b'-65.6517493713857',b'118.59915032134774',b''
b'1.0',b'21.0',b'18.33561553750442',b'-65.65177464509841',b'137.3089129935561',b''
b'1.0',b'24.0',b'18.335587865012332',b'-65.65180125813761',b'156.0320456883764',b''
b'1.0',b'27.0',b'18.33555914607211',b'-65.6518292266419',b'174.76474533828176',b''
b'1.0',b'30.0',b'18.33552939577129',b'-65.65185856594643',b'193.4974449881871',b''
b'1.0',b'33.0',b'18.335498629360412',b'-65.6518892912608',b'212.2301446380925',b''
b'1.0',b'36.0',b'18.335466862161887',b'-65.65192141778986',b'230.96450240610744',b''
b'1.0',b'39.0',b'18.33543410827623',b'-65.65195496262166',b'249.72693416017492',b''
b'1.0',b'42.0',b'18.335400383475665',b'-65.65198994061002',b'268.48936591424234',b''
b'1.0',b'45.0',b'18.33536570368374',b'-65.65202636646573',b'287.2517976683098',b''
b'1.0',b'48.0',b'18.335330084971957',b'-65.65206425475243',b'306.01422942237724',b''
b'1.0',b'51.0',b'18.335293543556308',b'-65.65210361988264',b'324.7766611764447',b''
b'1.0',b'54.0',b'18.335256091667503',b'-65.65214448299183',b'343.62502228642427',b''
b'1.0',b'57.0',b'18.33521774976956',b'-65.65218685176298',b'362.3923915350289',b''
b'1.0',b'60.0',b'18.33517853425084',b'-65.65223074057688',b'381.16513848216147',b''
b'1.0',b'63.0',b'18.335138461643975',b'-65.65227616365954',b'399.94326312782187',b''
b'1.0',b'66.0',b'18.335097548622077',b'-65.65232313507823',b'418.72676547201013',b''
b'1.0',b'69.0',b'18.335055811994927',b'-65.65237166873787',b'437.5156455147262',b''
b'1.0',b'72.0',b'18.33501326867671',b'-65.65242177843328',b'456.31056840896235',b''
b'1.0',b'75.0',b'18.33496993572792',b'-65.65247347775878',b'475.11115628093967',b''
b'1.0',b'78.0',b'18.334925830341565',b'-65.65252678012105',b'493.91723444408274',b''
b'1.0',b'81.0',b'18.334880969831406',b'-65.65258169875035',b'512.7288028983915',b''
b'1.0',b'84.0',b'18.334835371627673',b'-65.65263824669721',b'531.5458616438659',b''
b'1.0',b'87.0',b'18.33478905327273',b'-65.65269643682919',b'550.368410680506',b''
b'1.0',b'90.0',b'18.334742032416656',b'-65.65275628182789',b'569.1964500083118',b''
b'1.0',b'93.0',b'18.33469432681277',b'-65.6528177941859',b'588.0299796272833',b''
b'1.0',b'96.0',b'18.334645954313075',b'-65.65288098620404',b'606.8689995374203',b''
b'1.0',b'99.0',b'18.33459693286367',b'-65.65294586998849',b'625.7135097387231',b''
b'1.0',b'102.0',b'18.33454728050006',b'-65.65301245744834',b'644.5635102311917',b''
b'1.0',b'105.0',b'18.3344970153425',b'-65.653080760293',b'663.4190010148259',b''
b'1.0',b'108.0',b'18.334446155591166',b'-65.65315079002987',b'682.2799820896257',b''
b'1.0',b'111.0',b'18.334394719521427',b'-65.65322255796215',b'701.1464534555912',b''
b'1.0',b'114.0',b'18.33434272546754',b'-65.65329607522308',b'720.0188070353545',b''
b'1.0',b'117.0',b'18.33429019182389',b'-65.65337135275988',b'738.8972738910843',b''
b'1.0',b'120.0',b'18.33423713706079',b'-65.65344840126374',b'757.7813563052678',b''
b'1.0',b'123.0',b'18.334183579704575',b'-65.65352723121423',b'776.6710542779047',b''
b'1.0',b'126.0',b'18.33412953833267',b'-65.65360785287758',b'795.5663678089952',b''
b'1.0',b'129.0',b'18.334075086321285',b'-65.65368966225398',b'814.4672968985392',b''
b'1.0',b'132.0',b'18.3340202958618',b'-65.65377190545175',b'833.3738415465368',b''
b'1.0',b'135.0',b'18.333965166356354',b'-65.65385458264744',b'852.286001752988',b''
b'1.0',b'138.0',b'18.333909697207474',b'-65.653937694017',b'871.2037775178927',b''
b'1.0',b'141.0',b'18.33385388781807',b'-65.65402123973654',b'890.127168841251',b''
b'1.0',b'144.0',b'18.33379773759143',b'-65.6541052199824',b'909.0561757230628',b''
b'1.0',b'147.0',b'18.333741245931236',b'-65.65418963493113',b'927.9907981633281',b''
b'1.0',b'150.0',b'18.333684412241563',b'-65.65427448475944',b'946.931036162047',b''
b'1.0',b'153.0',b'18.333627235926873',b'-65.65435976964432',b'965.8768897192194',b''
b'1.0',b'156.0',b'18.333569716390564',b'-65.65444548976474',b'984.8284391525945',b''
b'1.0',b'159.0',b'18.33351185301567',b'-65.65453164532602',b'1003.7868269672483',b''
b'1.0',b'162.0',b'18.333453645204706',b'-65.65461823650955',b'1022.7509986010382',b''
b'1.0',b'165.0',b'18.33339509236059',b'-65.65470526349698',b'1041.720954053964',b''
b'1.0',b'168.0',b'18.333336193886616',b'-65.65479272647016',b'1060.696693326026',b''
b'1.0',b'171.0',b'18.333276949186473',b'-65.6548806256112',b'1079.678216417224',b''
b'1.0',b'174.0',b'18.333217357664232',b'-65.65496896110238',b'1098.6655233275578',b''
b'1.0',b'177.0',b'18.33315741872436',b'-65.65505773312627',b'1117.6586140570278',b''
b'1.0',b'180.0',b'18.33309713177172',b'-65.65514694186558',b'1136.6574886056335',b''
b'1.0',b'183.0',b'18.333036496211566',b'-65.65523658750337',b'1155.6621469733755',b''
b'1.0',b'186.0',b'18.33297551144955',b'-65.65532667022282',b'1174.6725891602532',b''
b'1.0',b'189.0',b'18.332914176891723',b'-65.65541719020744',b'1193.6888151662672',b''
b'1.0',b'192.0',b'18.33285249194453',b'-65.65550814764093',b'1212.710824991417',b''
b'1.0',b'195.0',b'18.33279045601482',b'-65.65559954270725',b'1231.7386186357028',b''
b'1.0',b'198.0',b'18.332728068509844',b'-65.65569137559059',b'1250.7721960991246',b''
b'1.0',b'201.0',b'18.332665328794274',b'-65.65578364652828',b'1269.8138832285',b''
b'1.0',b'204.0',b'18.332602236256413',b'-65.65587635572909',b'1288.8624163111717',b''
b'1.0',b'207.0',b'18.332538790302237',b'-65.65596950338082',b'1307.9168591834828',b''
b'1.0',b'210.0',b'18.332474990338135',b'-65.65606308967149',b'1326.977211845433',b''
b'1.0',b'213.0',b'18.332410835770883',b'-65.65615711478937',b'1346.0434742970224',b''
b'1.0',b'216.0',b'18.332346326007677',b'-65.656251578923',b'1365.1156465382514',b''
b'1.0',b'219.0',b'18.332281460456098',b'-65.65634648226121',b'1384.19372856912',b''
b'1.0',b'222.0',b'18.332216238524154',b'-65.65644182499305',b'1403.2777203896276',b''
b'1.0',b'225.0',b'18.332150659620243',b'-65.65653760730785',b'1422.3676219997747',b''
b'1.0',b'228.0',b'18.332084723153184',b'-65.65663382939523',b'1441.463433399561',b''
b'1.0',b'231.0',b'18.332018428532198',b'-65.65673049144507',b'1460.5651545889868',b''
b'1.0',b'234.0',b'18.331951775166925',b'-65.6568275936475',b'1479.6727855680517',b''
b'1.0',b'237.0',b'18.331884762467418',b'-65.65692513619297',b'1498.7863263367562',b''
b'1.0',b'240.0',b'18.331817389844144',b'-65.65702311927218',b'1517.9057768951',b''
b'1.0',b'243.0',b'18.331749772986317',b'-65.65712148239847',b'1537.0311372430829',b''
b'1.0',b'246.0',b'18.331682023101553',b'-65.65722016775428',b'1556.1624073807054',b''
b'1.0',b'249.0',b'18.331614140520436',b'-65.6573191754861',b'1575.2995873079672',b''
b'1.0',b'252.0',b'18.33154612557319',b'-65.65741850573623',b'1594.4426770248683',b''
b'1.0',b'255.0',b'18.331477978589692',b'-65.65751815864634',b'1613.5916765314087',b''
b'1.0',b'258.0',b'18.33140969989947',b'-65.65761813435734',b'1632.7465858275884',b''
b'1.0',b'261.0',b'18.33134128983169',b'-65.65771843300945',b'1651.9074049134074',b''
b'1.0',b'264.0',b'18.33127274871517',b'-65.65781905474222',b'1671.074133788866',b''
b'1.0',b'267.0',b'18.331204076878354',b'-65.65791999969449',b'1690.2467724539638',b''
